2021-11-29 09:08:09,331 DEBUG [background-preinit] logging: Logging Provider: org.jboss.logging.Log4j2LoggerProvider
2021-11-29 09:08:09,643 INFO  [main] ErpSystemApp: The following profiles are active: prod,api-docs
2021-11-29 09:08:11,902 INFO  [main] WebConfigurer: Web application configuration, using profiles: prod
2021-11-29 09:08:11,902 INFO  [main] WebConfigurer: Web application fully configured
2021-11-29 09:08:15,604 WARN  [main] HazelcastInstanceFactory: Hazelcast is starting in a Java modular environment (Java 9 and newer) but without proper access to required Java packages. Use additional Java arguments to provide Hazelcast access to Java internal API. The internal API access is used to get the best performance results. Arguments to be used:
 --add-modules java.se --add-exports java.base/jdk.internal.ref=ALL-UNNAMED --add-opens java.base/java.lang=ALL-UNNAMED --add-opens java.base/java.nio=ALL-UNNAMED --add-opens java.base/sun.nio.ch=ALL-UNNAMED --add-opens java.management/sun.management=ALL-UNNAMED --add-opens jdk.management/com.sun.management.internal=ALL-UNNAMED
2021-11-29 09:08:15,656 INFO  [main] system: [172.18.0.3]:5701 [dev] [4.1.5] Hazelcast 4.1.5 (20210817 - 270c5be) starting at [172.18.0.3]:5701
2021-11-29 09:08:15,946 INFO  [main] DiscoveryService: [172.18.0.3]:5701 [dev] [4.1.5] No discovery strategy is applicable for auto-detection
2021-11-29 09:08:16,034 INFO  [main] Node: [172.18.0.3]:5701 [dev] [4.1.5] Using Multicast discovery
2021-11-29 09:08:16,038 WARN  [main] CPSubsystem: [172.18.0.3]:5701 [dev] [4.1.5] CP Subsystem is not enabled. CP data structures will operate in UNSAFE mode! Please note that UNSAFE mode will not provide strong consistency guarantees.
2021-11-29 09:08:16,265 INFO  [main] Diagnostics: [172.18.0.3]:5701 [dev] [4.1.5] Diagnostics disabled. To enable add -Dhazelcast.diagnostics.enabled=true to the JVM arguments.
2021-11-29 09:08:16,281 INFO  [main] LifecycleService: [172.18.0.3]:5701 [dev] [4.1.5] [172.18.0.3]:5701 is STARTING
2021-11-29 09:08:18,644 INFO  [main] ClusterService: [172.18.0.3]:5701 [dev] [4.1.5] 

Members {size:1, ver:1} [
	Member [172.18.0.3]:5701 - cd882675-17f0-4de1-b9ae-49a5819e4a6e this
]

2021-11-29 09:08:18,650 INFO  [main] LifecycleService: [172.18.0.3]:5701 [dev] [4.1.5] [172.18.0.3]:5701 is STARTED
2021-11-29 09:08:19,803 INFO  [main] HazelcastCacheRegionFactory: Starting up HazelcastCacheRegionFactory
2021-11-29 09:08:19,805 INFO  [main] IHazelcastInstanceFactory: Using existing HazelcastInstance [erpSystem].
2021-11-29 09:08:21,379 WARN  [main] RestClient: request [GET http://10.60.27.22:9200/] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-11-29 09:08:21,408 WARN  [main] VersionInfo: Version mismatch in between Elasticsearch Client and Cluster: 7.12.1 - 7.13.3
2021-11-29 09:08:21,478 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/dealer?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-11-29 09:08:21,790 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/dealer?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-11-29 09:08:21,889 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/invoice?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-11-29 09:08:22,074 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/invoice?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-11-29 09:08:22,184 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/payment?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-11-29 09:08:22,383 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/payment?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-11-29 09:08:22,449 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/paymentlabel?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-11-29 09:08:22,627 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/paymentlabel?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
