2021-12-16 04:54:51,727 WARN  [hz.erpSystem.InvocationMonitorThread] InvocationMonitor: [172.18.0.3]:5701 [dev] [4.1.5] MonitorInvocationsTask delayed 33657740 ms
2021-12-16 04:54:52,716 INFO  [hz.erpSystem.cached.thread-5] ClusterHeartbeatManager: [172.18.0.3]:5701 [dev] [4.1.5] System clock apparently jumped from 2021-12-15 19:33:52.984 to 2021-12-16 04:54:52.715 since last heartbeat (+33654731 ms)
2021-12-16 04:54:52,717 WARN  [hz.erpSystem.cached.thread-5] ClusterHeartbeatManager: [172.18.0.3]:5701 [dev] [4.1.5] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 33654731 ms, Heartbeat-Timeout: 60000 ms
2021-12-16 04:55:02,723 WARN  [hz.erpSystem.InvocationMonitorThread] InvocationMonitor: [172.18.0.3]:5701 [dev] [4.1.5] BroadcastOperationControlTask delayed 33654741 ms
2021-12-16 05:11:58,414 INFO  [hz.ShutdownThread] Node: [172.18.0.3]:5701 [dev] [4.1.5] Running shutdown hook... Current state: ACTIVE
2021-12-16 05:11:58,415 INFO  [hz.ShutdownThread] LifecycleService: [172.18.0.3]:5701 [dev] [4.1.5] [172.18.0.3]:5701 is SHUTTING_DOWN
2021-12-16 05:15:03,880 DEBUG [background-preinit] logging: Logging Provider: org.jboss.logging.Log4j2LoggerProvider
2021-12-16 05:15:04,285 INFO  [main] ErpSystemApp: The following profiles are active: prod,api-docs
2021-12-16 05:15:07,043 INFO  [main] WebConfigurer: Web application configuration, using profiles: prod
2021-12-16 05:15:07,043 INFO  [main] WebConfigurer: Web application fully configured
2021-12-16 05:15:11,263 WARN  [main] HazelcastInstanceFactory: Hazelcast is starting in a Java modular environment (Java 9 and newer) but without proper access to required Java packages. Use additional Java arguments to provide Hazelcast access to Java internal API. The internal API access is used to get the best performance results. Arguments to be used:
 --add-modules java.se --add-exports java.base/jdk.internal.ref=ALL-UNNAMED --add-opens java.base/java.lang=ALL-UNNAMED --add-opens java.base/java.nio=ALL-UNNAMED --add-opens java.base/sun.nio.ch=ALL-UNNAMED --add-opens java.management/sun.management=ALL-UNNAMED --add-opens jdk.management/com.sun.management.internal=ALL-UNNAMED
2021-12-16 05:15:11,357 INFO  [main] system: [172.18.0.2]:5701 [dev] [4.1.5] Hazelcast 4.1.5 (20210817 - 270c5be) starting at [172.18.0.2]:5701
2021-12-16 05:15:11,727 INFO  [main] DiscoveryService: [172.18.0.2]:5701 [dev] [4.1.5] No discovery strategy is applicable for auto-detection
2021-12-16 05:15:11,772 INFO  [main] Node: [172.18.0.2]:5701 [dev] [4.1.5] Using Multicast discovery
2021-12-16 05:15:11,776 WARN  [main] CPSubsystem: [172.18.0.2]:5701 [dev] [4.1.5] CP Subsystem is not enabled. CP data structures will operate in UNSAFE mode! Please note that UNSAFE mode will not provide strong consistency guarantees.
2021-12-16 05:15:12,014 INFO  [main] Diagnostics: [172.18.0.2]:5701 [dev] [4.1.5] Diagnostics disabled. To enable add -Dhazelcast.diagnostics.enabled=true to the JVM arguments.
2021-12-16 05:15:12,023 INFO  [main] LifecycleService: [172.18.0.2]:5701 [dev] [4.1.5] [172.18.0.2]:5701 is STARTING
2021-12-16 05:15:14,537 INFO  [main] ClusterService: [172.18.0.2]:5701 [dev] [4.1.5] 

Members {size:1, ver:1} [
	Member [172.18.0.2]:5701 - a8aa6c8d-2fd8-4111-94d8-23edb548ae7a this
]

2021-12-16 05:15:14,546 INFO  [main] LifecycleService: [172.18.0.2]:5701 [dev] [4.1.5] [172.18.0.2]:5701 is STARTED
2021-12-16 05:15:15,620 INFO  [main] HazelcastCacheRegionFactory: Starting up HazelcastCacheRegionFactory
2021-12-16 05:15:15,621 INFO  [main] IHazelcastInstanceFactory: Using existing HazelcastInstance [erpSystem].
2021-12-16 05:15:17,423 WARN  [main] RestClient: request [GET http://10.60.27.22:9200/] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-12-16 05:15:17,455 WARN  [main] VersionInfo: Version mismatch in between Elasticsearch Client and Cluster: 7.12.1 - 7.13.3
2021-12-16 05:15:17,528 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/dealer?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-12-16 05:15:17,872 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/dealer?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-12-16 05:15:17,973 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/invoice?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-12-16 05:15:18,152 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/invoice?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-12-16 05:15:18,273 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/payment?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-12-16 05:15:18,467 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/payment?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-12-16 05:15:18,536 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/paymentlabel?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2021-12-16 05:15:18,723 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/paymentlabel?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
