2022-01-11 11:02:19,178 WARN  [XNIO-1 task-2] AdviceTraits: Unauthorized: Full authentication is required to access this resource
2022-01-11 11:02:20,661 WARN  [XNIO-1 task-2] AdviceTraits: Unauthorized: Full authentication is required to access this resource
2022-01-11 11:02:30,250 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@289d82b (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-11 11:02:30,251 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@2aa97282 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-11 11:02:30,253 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@3327330b (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-11 11:02:30,254 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@7f23fdc4 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-11 11:02:30,255 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@4b8e90dd (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-11 11:02:30,257 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@2a52d64c (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-11 11:02:30,258 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@20e70766 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-11 11:02:30,258 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@404a1363 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-11 11:02:30,258 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@7ffd6bcf (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-11 11:02:30,259 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@43a122ca (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-11 11:02:30,507 WARN  [XNIO-1 task-2] AdviceTraits: Unauthorized: Bad credentials
2022-01-11 11:03:10,630 WARN  [XNIO-1 task-2] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-11 11:04:23,600 WARN  [XNIO-1 task-2] RestClient: request [PUT http://10.60.27.22:9200/payment/_doc/4902?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
