2022-01-21 07:07:58,824 WARN  [XNIO-1 task-5] AdviceTraits: Unauthorized: Full authentication is required to access this resource
2022-01-21 07:08:00,946 WARN  [XNIO-1 task-4] AdviceTraits: Unauthorized: Full authentication is required to access this resource
2022-01-21 07:08:13,961 WARN  [XNIO-1 task-4] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@14086960 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-21 07:08:13,964 WARN  [XNIO-1 task-4] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@3e0393aa (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-21 07:08:13,964 WARN  [XNIO-1 task-4] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@1877a8e3 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-21 07:08:13,965 WARN  [XNIO-1 task-4] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@4f6381e4 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-21 07:08:13,966 WARN  [XNIO-1 task-4] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@422217a (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-21 07:08:13,967 WARN  [XNIO-1 task-4] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@269e7c97 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-21 07:08:13,968 WARN  [XNIO-1 task-4] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@30bf817 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-21 07:08:13,969 WARN  [XNIO-1 task-4] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@50342533 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-21 07:08:13,970 WARN  [XNIO-1 task-4] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@4508e7be (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-21 07:08:13,970 WARN  [XNIO-1 task-4] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@10a7414c (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-21 07:09:08,547 WARN  [XNIO-1 task-4] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
